figure,topic,section,source,recommended_position,core_conclusion,png,pdf,svg
Fig5_1_main_overview_heatmap,Direction-unified metric heatmap for B1-B12,5.1 主实验对比,FINAL_comparison_results.csv,第五章 5.1 主实验总览,B12 在多数方向统一指标上保持高水平，兼顾性能与稳定性。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_1_main_overview_heatmap.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_1_main_overview_heatmap.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_1_main_overview_heatmap.svg
Fig5_2_main_profile_plot,Multi-metric profile plot,5.1 主实验对比,FINAL_comparison_results.csv,第五章 5.1 主实验总览或附图,B12 的多指标轮廓稳定接近最优，middle 专项与误判抑制均衡。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_2_main_profile_plot.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_2_main_profile_plot.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_2_main_profile_plot.svg
Fig5_3_main_representative_bar_score,Representative grouped bars,5.1 主实验对比,FINAL_comparison_results.csv,第五章 5.1 代表方法对比,B12 相比规则、传统模型和深度基线在关键指标上更均衡。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_3_main_representative_bar_score.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_3_main_representative_bar_score.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_3_main_representative_bar_score.svg
Fig5_4_middle_stage_panel,Middle-stage precision/recall/error panel,5.1/5.4 Middle 专项,FINAL_comparison_results.csv,第五章 middle 阶段专项分析,B12 对 middle 阶段保持高召回，并将 M→L 控制在低水平。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_4_middle_stage_panel.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_4_middle_stage_panel.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_4_middle_stage_panel.svg
Fig5_5_middle_error_flow_panel,Middle-stage directional error lollipop,5.1 Middle 专项,FINAL_comparison_results.csv,第五章 middle 误判方向分析,B12 避免 middle 过早进入 late，同时保持较低 M→E。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_5_middle_error_flow_panel.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_5_middle_error_flow_panel.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_5_middle_error_flow_panel.svg
Fig5_6_confusion_matrix_panel_2x2,Confusion matrix panel,5.1 混淆矩阵,FINAL_comparison_confusion_matrices_long.csv,第五章 5.1 混淆矩阵分析,B12 的错分主要集中在相邻阶段，middle→late 得到抑制。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_6_confusion_matrix_panel_2x2.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_6_confusion_matrix_panel_2x2.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_6_confusion_matrix_panel_2x2.svg
Fig5_S1_confusion_matrix_panel_1x4,Confusion matrix panel,5.1 混淆矩阵,FINAL_comparison_confusion_matrices_long.csv,第五章 5.1 混淆矩阵分析,B12 的错分主要集中在相邻阶段，middle→late 得到抑制。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_S1_confusion_matrix_panel_1x4.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_S1_confusion_matrix_panel_1x4.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_main\Fig5_S1_confusion_matrix_panel_1x4.svg
Fig5_7_probability_evolution_B11_vs_B12,B11 vs B12 probability evolution and ribbon,5.4 阶段概率演化,FINAL_comparison_predictions.csv,第五章 5.4 阶段概率演化,B12 概率随生命周期有序演化，阶段条带更连续。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_7_probability_evolution_B11_vs_B12.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_7_probability_evolution_B11_vs_B12.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_7_probability_evolution_B11_vs_B12.svg
Fig5_8_probability_stream_ribbon,B12 streamgraph and transition zoom,5.4 阶段概率演化,FINAL_comparison_predictions.csv,第五章 5.4 或正文核心图,B12 阶段概率组成呈 early-middle-late 的生命周期流动。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_8_probability_stream_ribbon.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_8_probability_stream_ribbon.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_probability\Fig5_8_probability_stream_ribbon.svg
Fig5_10_ablation_probability_evolution_2x3,A1-A6 probability evolution small multiples,5.3 消融概率机制,ablation_probabilities_test_C6.csv,第五章 5.3 消融机制图,从 Raw 到 Final，概率输出逐步变得更有序、更平滑。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_10_ablation_probability_evolution_2x3.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_10_ablation_probability_evolution_2x3.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_10_ablation_probability_evolution_2x3.svg
